Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066212,2025,10,13,23.6,1,N
IDCJAC0010,066212,2025,10,14,28.6,1,N
IDCJAC0010,066212,2025,10,15,28.9,1,N
IDCJAC0010,066212,2025,10,16,29.9,1,N
IDCJAC0010,066212,2025,10,17,35.2,1,N
IDCJAC0010,066212,2025,10,18,23.6,1,N
IDCJAC0010,066212,2025,10,19,27.8,1,N
IDCJAC0010,066212,2025,10,20,36.9,1,N
IDCJAC0010,066212,2025,10,21,24.9,1,N
IDCJAC0010,066212,2025,10,22,38.9,1,N
IDCJAC0010,066212,2025,10,23,22.4,1,N
IDCJAC0010,066212,2025,10,24,25.6,1,N
IDCJAC0010,066212,2025,10,25,27.1,1,N
IDCJAC0010,066212,2025,10,26,27.5,1,N
IDCJAC0010,066212,2025,10,27,26.4,1,N
IDCJAC0010,066212,2025,10,28,16.3,1,N
IDCJAC0010,066212,2025,10,29,18.6,1,N
IDCJAC0010,066212,2025,10,30,23.8,1,N
IDCJAC0010,066212,2025,10,31,26.2,1,N
IDCJAC0010,066212,2025,11,01,24.3,1,Y
IDCJAC0010,066212,2025,11,02,25.1,1,Y
IDCJAC0010,066212,2025,11,03,32.3,1,Y
IDCJAC0010,066212,2025,11,04,24.1,1,Y
IDCJAC0010,066212,2025,11,05,27.9,1,Y
IDCJAC0010,066212,2025,11,06,25.9,1,Y
IDCJAC0010,066212,2025,11,07,28.8,1,Y
IDCJAC0010,066212,2025,11,08,35.6,1,Y
IDCJAC0010,066212,2025,11,09,22.2,1,Y
IDCJAC0010,066212,2025,11,10,24.5,1,Y
IDCJAC0010,066212,2025,11,11,29.6,1,Y
IDCJAC0010,066212,2025,11,12,23.5,1,Y
IDCJAC0010,066212,2025,11,13,28.7,1,Y
IDCJAC0010,066212,2025,11,14,23.9,1,Y
IDCJAC0010,066212,2025,11,15,30.7,1,Y
IDCJAC0010,066212,2025,11,16,33.0,1,Y
IDCJAC0010,066212,2025,11,17,25.0,1,Y
IDCJAC0010,066212,2025,11,18,28.7,1,Y
IDCJAC0010,066212,2025,11,19,32.9,1,Y
IDCJAC0010,066212,2025,11,20,25.4,1,Y
IDCJAC0010,066212,2025,11,21,21.0,1,Y
IDCJAC0010,066212,2025,11,22,22.3,1,Y
IDCJAC0010,066212,2025,11,23,31.8,1,Y
IDCJAC0010,066212,2025,11,24,25.5,1,Y
IDCJAC0010,066212,2025,11,25,31.6,1,Y
IDCJAC0010,066212,2025,11,26,35.2,1,Y
IDCJAC0010,066212,2025,11,27,32.6,1,Y
IDCJAC0010,066212,2025,11,28,32.8,1,Y
IDCJAC0010,066212,2025,11,29,32.5,1,Y
IDCJAC0010,066212,2025,11,30,29.4,1,Y
IDCJAC0010,066212,2025,12,01,25.9,1,Y
IDCJAC0010,066212,2025,12,02,22.7,1,Y
IDCJAC0010,066212,2025,12,03,28.3,1,Y
IDCJAC0010,066212,2025,12,04,34.4,1,Y
IDCJAC0010,066212,2025,12,05,39.2,1,Y
IDCJAC0010,066212,2025,12,06,41.2,1,Y
IDCJAC0010,066212,2025,12,07,22.4,1,Y
IDCJAC0010,066212,2025,12,08,28.8,1,Y
IDCJAC0010,066212,2025,12,09,36.6,1,Y
IDCJAC0010,066212,2025,12,10,27.2,1,Y
IDCJAC0010,066212,2025,12,11,25.3,1,Y
IDCJAC0010,066212,2025,12,12,22.7,1,Y
IDCJAC0010,066212,2025,12,13,28.2,1,Y
IDCJAC0010,066212,2025,12,14,35.1,1,Y
IDCJAC0010,066212,2025,12,15,24.9,1,Y
IDCJAC0010,066212,2025,12,16,22.7,1,Y
IDCJAC0010,066212,2025,12,17,28.2,1,Y
IDCJAC0010,066212,2025,12,18,37.2,1,Y
IDCJAC0010,066212,2025,12,19,42.7,1,Y
IDCJAC0010,066212,2025,12,20,34.7,1,Y
IDCJAC0010,066212,2025,12,21,41.9,1,Y
IDCJAC0010,066212,2025,12,22,32.9,1,Y
IDCJAC0010,066212,2025,12,23,33.6,1,Y
IDCJAC0010,066212,2025,12,24,34.6,1,Y
IDCJAC0010,066212,2025,12,25,23.5,1,Y
IDCJAC0010,066212,2025,12,26,19.0,1,Y
IDCJAC0010,066212,2025,12,27,22.6,1,Y
IDCJAC0010,066212,2025,12,28,23.6,1,Y
IDCJAC0010,066212,2025,12,29,24.2,1,Y
IDCJAC0010,066212,2025,12,30,25.7,1,Y
IDCJAC0010,066212,2025,12,31,25.1,1,Y
