Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,066124,2024,11,05,24.2,1,Y
IDCJAC0010,066124,2024,11,06,31.5,1,Y
IDCJAC0010,066124,2024,11,07,32.4,1,Y
IDCJAC0010,066124,2024,11,08,31.0,1,Y
IDCJAC0010,066124,2024,11,09,26.5,1,Y
IDCJAC0010,066124,2024,11,10,27.0,1,Y
IDCJAC0010,066124,2024,11,11,21.2,1,Y
IDCJAC0010,066124,2024,11,12,25.2,1,Y
IDCJAC0010,066124,2024,11,13,26.0,1,Y
IDCJAC0010,066124,2024,11,14,22.0,1,Y
IDCJAC0010,066124,2024,11,15,21.2,1,Y
IDCJAC0010,066124,2024,11,16,25.1,1,Y
IDCJAC0010,066124,2024,11,17,31.5,1,Y
IDCJAC0010,066124,2024,11,18,30.2,1,Y
IDCJAC0010,066124,2024,11,19,21.5,1,Y
IDCJAC0010,066124,2024,11,20,25.8,1,Y
IDCJAC0010,066124,2024,11,21,25.8,1,Y
IDCJAC0010,066124,2024,11,22,28.4,1,Y
IDCJAC0010,066124,2024,11,23,31.2,1,Y
IDCJAC0010,066124,2024,11,24,33.2,1,Y
IDCJAC0010,066124,2024,11,25,32.2,1,Y
IDCJAC0010,066124,2024,11,26,37.5,1,Y
IDCJAC0010,066124,2024,11,27,37.0,1,Y
IDCJAC0010,066124,2024,11,28,29.2,1,Y
IDCJAC0010,066124,2024,11,29,22.8,1,Y
IDCJAC0010,066124,2024,11,30,26.0,1,Y
IDCJAC0010,066124,2024,12,01,31.5,1,Y
IDCJAC0010,066124,2024,12,02,36.0,1,Y
IDCJAC0010,066124,2024,12,03,32.5,1,Y
IDCJAC0010,066124,2024,12,04,27.0,1,Y
IDCJAC0010,066124,2024,12,05,28.8,1,Y
IDCJAC0010,066124,2024,12,06,33.0,1,Y
IDCJAC0010,066124,2024,12,07,29.5,1,Y
IDCJAC0010,066124,2024,12,08,30.2,1,Y
IDCJAC0010,066124,2024,12,09,24.6,1,Y
IDCJAC0010,066124,2024,12,10,26.4,1,Y
IDCJAC0010,066124,2024,12,11,28.0,1,Y
IDCJAC0010,066124,2024,12,12,31.8,1,Y
IDCJAC0010,066124,2024,12,13,35.0,1,Y
IDCJAC0010,066124,2024,12,14,28.8,1,Y
IDCJAC0010,066124,2024,12,15,29.2,1,Y
IDCJAC0010,066124,2024,12,16,33.5,1,Y
IDCJAC0010,066124,2024,12,17,38.5,1,Y
IDCJAC0010,066124,2024,12,18,23.5,1,Y
IDCJAC0010,066124,2024,12,19,25.0,1,Y
IDCJAC0010,066124,2024,12,20,27.0,1,Y
IDCJAC0010,066124,2024,12,21,33.0,1,Y
IDCJAC0010,066124,2024,12,22,29.0,1,Y
IDCJAC0010,066124,2024,12,23,29.8,1,Y
IDCJAC0010,066124,2024,12,24,25.2,1,Y
IDCJAC0010,066124,2024,12,25,30.0,1,Y
IDCJAC0010,066124,2024,12,26,32.0,1,Y
IDCJAC0010,066124,2024,12,27,36.5,1,Y
IDCJAC0010,066124,2024,12,28,28.2,1,Y
IDCJAC0010,066124,2024,12,29,30.0,1,Y
IDCJAC0010,066124,2024,12,30,28.5,1,Y
IDCJAC0010,066124,2024,12,31,30.0,1,Y
